Tahun,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Agu,Sep,Okt,Nov,Des
2026,236.5,274.0,161.3,126.8,115.8,114.3,143.25,62.0,45.3,158.0,176.0,324.3
2027,249.0,246.3,286.3,271.3,281.8,75.7,38.8,97.0,27.0,7.25,144.0,100.0
2028,307.25,246.3,318.0,166.3,268.5,161.0,127.3,11.0,51.5,18.25,121.3,24.75
2029,147.25,225.7,381.8,222.5,118.8,114.3,38.8,0.0,7.8,108.8,0.0,144.75
2030,383.8,328.25,236.5,139.7,217.5,186.5,1.5,141.3,43.0,14.0,163.0,222.0
2031,383.8,125.5,211.25,107.3,115.8,0.0,100.5,0.0,0.0,18.25,144.0,137.0
2032,253.5,250.8,194.5,317.3,129.3,29.8,168.5,50.0,8.5,140.8,163.0,144.75
2033,273.3,160.0,297.0,317.3,268.5,0.0,127.3,11.0,51.5,0.0,176.0,212.8
2034,249.0,96.8,211.25,310.8,98.3,75.7,100.5,170.3,125.8,108.8,279.7,100.0
2035,274.25,160.0,426.8,310.8,17.0,114.3,10.0,48.3,7.8,8.3,145.0,460.5
2036,236.5,174.5,318.0,139.7,268.5,114.3,0.0,48.3,45.3,158.0,145.0,206.0
2037,307.25,360.0,253.0,62.5,225.8,75.7,38.8,195.75,45.3,54.8,115.0,496.5
2038,466.75,239.3,140.0,166.3,129.3,186.5,100.5,11.0,302.5,71.3,163.0,222.0
2039,328.5,250.8,140.0,222.5,186.25,82.75,173.0,50.0,51.5,169.3,349.5,144.75
2040,336.8,174.5,241.0,158.75,217.5,88.5,230.3,92.3,125.8,134.75,163.0,212.8
2041,272.5,361.0,111.8,158.75,225.8,174.8,173.0,274.0,72.8,140.8,352.75,142.25
2042,494.8,225.7,286.3,132.25,98.3,153.75,125.8,48.0,203.0,134.75,455.75,206.0
2043,466.75,225.7,426.8,204.3,129.3,17.75,100.5,92.3,45.3,18.25,83.0,324.3
2044,236.5,219.25,211.25,222.5,186.25,88.5,168.5,0.0,3.3,283.5,279.7,383.5
