Tahun,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Agu,Sep,Okt,Nov,Des
2006,494.8,96.8,426.8,317.3,281.8,70.8,168.5,92.3,125.8,71.3,115.0,496.5
2007,249.0,360.0,381.8,271.3,217.5,88.5,131.3,274.0,159.3,169.3,163.0,299.3
2008,362.0,160.0,297.0,166.3,98.3,148.0,178.8,170.3,203.0,108.8,349.5,324.3
2009,383.8,361.0,227.0,139.7,234.8,204.3,125.8,141.3,131.8,158.0,121.3,213.8
2010,336.8,276.8,294.0,310.8,268.5,174.8,230.3,199.5,302.5,283.5,279.7,436.5
2011,272.5,218.8,286.3,256.8,225.8,186.5,23.8,65.3,72.8,96.3,206.0,253.0
2012,236.5,350.5,280.8,162.5,129.3,114.3,127.3,66.8,51.5,54.8,52.0,206.0
2013,273.3,215.5,236.5,204.3,115.8,207.8,100.5,0.0,8.5,9.0,176.0,288.8
2014,253.5,225.7,140.0,277.7,57.8,29.8,10.0,11.0,25.0,0.0,20.0,383.5
2015,181.5,263.8,253.0,156.3,92.8,0.0,1.5,58.0,27.0,8.3,83.0,222.0
2016,169.3,314.5,111.8,126.8,167.8,134.5,38.5,62.0,45.3,140.8,156.3,256.3
2017,328.5,246.3,208.8,188.8,60.5,75.7,38.8,50.0,3.3,14.0,322.5,212.8
2018,290.8,239.3,194.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,145.0,137.0
2019,274.25,125.5,112.75,257.0,17.0,0.0,0.0,0.0,118.75,0.0,0.0,24.75
2020,198.8,250.8,161.3,107.3,118.8,19.5,9.3,48.3,7.8,0.0,144.0,100.0
2021,158.75,219.25,211.25,132.25,58.75,80.25,18.75,0.0,8.25,7.25,352.75,142.25
2022,254.75,174.5,241.0,158.75,186.25,82.75,14.33,97.0,15.5,116.5,282.75,144.75
2023,147.25,328.25,230.75,240.0,12.25,17.75,36.0,177.75,43.0,18.25,99.25,281.75
2024,307.25,327.0,163.25,355.5,120.0,161.0,143.25,48.0,136.0,134.75,163.0,460.5
2025,466.75,274.0,318.0,222.5,317.0,153.75,173.0,195.75,156.75,143.67,455.75,403.75
2026,236.5,274.0,161.3,126.8,115.8,114.3,143.25,62.0,45.3,158.0,176.0,324.3
2027,249.0,246.3,286.3,271.3,281.8,75.7,38.8,97.0,27.0,7.25,144.0,100.0
2028,307.25,246.3,318.0,166.3,268.5,161.0,127.3,11.0,51.5,18.25,121.3,24.75
2029,147.25,225.7,381.8,222.5,118.8,114.3,38.8,0.0,7.8,108.8,0.0,144.75
2030,383.8,328.25,236.5,139.7,217.5,186.5,1.5,141.3,43.0,14.0,163.0,222.0
